Lattitude,Longitude,Total Doses,Sessions,Sites ,Total Doses/500000,Sessions/786,Sites/54 ,(f+g+h)/3,Out of 100
8.4855,76.94924,1596518,55094,77,3.193036,0.097964377,1.425925926,4.716926303,47.16926303
8.72742,77.6838,1695286,18864,58,3.390572,0.073791349,1.074074074,4.538437423,45.38437423
8.88113,76.58469,1325970,34428,80,2.65194,0.10178117,1.481481481,4.235202652,42.35202652
9.26667,76.78333,2627032,69977,122,5.254064,0.155216285,2.259259259,7.668539544,76.68539544
9.37158,78.83077,497962,19600,49,0.995924,0.062340967,0.907407407,1.965672374,19.65672374
9.37158,78.83077,578340,23020,26,1.15668,0.03307888,0.481481481,1.671240362,16.71240362
9.49004,76.3264,806739,259749,160,1.613478,0.203562341,2.962962963,4.780003304,47.80003304
9.58692,76.52132,2752471,27098,96,5.504942,0.122137405,1.777777778,7.404857182,74.04857182
9.84701,78.48358,1578832,6101,13,3.157664,0.01653944,0.240740741,3.414944181,34.14944181
9.919,78.11953,1174995,4050,26,2.34999,0.03307888,0.481481481,2.864550362,28.64550362
10.36896,77.98036,833595,7605,20,1.66719,0.025445293,0.37037037,2.063005663,20.63005663
10.36896,77.98036,694900,22840,34,1.3898,0.043256997,0.62962963,2.062686627,20.62686627
10.38128,78.82141,186137,2846,7,0.372274,0.008905852,0.12962963,0.510809482,5.10809482
10.38128,78.82141,455863,8500,25,0.911726,0.031806616,0.462962963,1.406495579,14.06495579
10.77269,79.6368,845918,14600,62,1.691836,0.078880407,1.148148148,2.918864555,29.18864555
10.8155,78.69651,548111,9055,25,1.096222,0.031806616,0.462962963,1.590991579,15.90991579
10.91667,79.83333,1413744,19477,65,2.827488,0.082697201,1.203703704,4.113888905,41.13888905
10.95771,78.08095,1247017,46520,36,2.494034,0.045801527,0.666666667,3.206502193,32.06502193
11.00555,76.96612,502986,25100,52,1.005972,0.066157761,0.962962963,2.035092724,20.35092724
11.04199,76.08154,3233056,134529,157,6.466112,0.199745547,2.907407407,9.573264954,95.73264954
11.11541,77.35456,600079,16180,41,1.200158,0.05216285,0.759259259,2.011580109,20.11580109
11.13849,79.07556,422768,8700,48,0.845536,0.061068702,0.888888889,1.795493591,17.95493591
11.22126,78.16524,888835,13140,23,1.77767,0.029262087,0.425925926,2.232858012,22.32858012
11.23333,78.88333,375231,2620,5,0.750462,0.006361323,0.092592593,0.849415916,8.494159157
11.24802,75.7804,2125026,35000,109,4.250052,0.138676845,2.018518519,6.407247363,64.07247363
11.3428,77.72741,775025,21657,49,1.55005,0.062340967,0.907407407,2.519798374,25.19798374
11.65376,78.15538,609616,31700,43,1.219232,0.054707379,0.796296296,2.070235675,20.70235675
11.65376,78.15538,401287,43850,43,0.802574,0.054707379,0.796296296,1.653577675,16.53577675
11.70172,75.53474,150398,11200,14,0.300796,0.017811705,0.259259259,0.577866964,5.778669641
11.73379,78.95925,1571346,8590,30,3.142692,0.038167939,0.555555556,3.736415494,37.36415494
11.75617,79.76693,3344937,39899,118,6.689874,0.150127226,2.185185185,9.025186412,90.25186412
11.86752,75.35763,1228547,27140,49,2.457094,0.062340967,0.907407407,3.426842374,34.26842374
11.93381,79.82979,55283,394,3,0.110566,0.003816794,0.055555556,0.169938349,1.699383494
12.1277,78.15794,1349465,134540,90,2.69893,0.114503817,1.666666667,4.480100483,44.80100483
12.22662,79.07461,1158435,49970,67,2.31687,0.08524173,1.240740741,3.642852471,36.42852471
12.49838,74.98959,2619664,95855,137,5.239328,0.174300254,2.537037037,7.950665291,79.50665291
12.51921,78.21382,398261,19340,12,0.796522,0.015267176,0.222222222,1.034011398,10.34011398
12.5223,76.89746,1030003,108922,312,2.060006,0.396946565,5.777777778,8.234730343,82.34730343
12.9184,79.13255,709427,7600,25,1.418854,0.031806616,0.462962963,1.913623579,19.13623579
13.08784,80.27847,1583866,44906,77,3.167732,0.097964377,1.425925926,4.691622303,46.91622303
13.13768,78.12999,547186,135380,106,1.094372,0.134860051,1.962962963,3.192195014,31.92195014
13.21055,79.0956,3228972,348180,121,6.457944,0.15394402,2.240740741,8.852628761,88.52628761
13.33467,74.74617,2125424,291683,180,4.250848,0.229007634,3.333333333,7.813188967,78.13188967
14.16498,75.02901,1950860,192357,309,3.90172,0.393129771,5.722222222,10.01707199,100.1707199
14.22262,76.40038,1186666,228566,222,2.373332,0.282442748,4.111111111,6.766885859,67.66885859
14.67784,77.60813,279778,5420,17,0.559556,0.021628499,0.314814815,0.895999314,8.959993135
15.34522,76.15478,1371630,504102,184,2.74326,0.234096692,3.407407407,6.3847641,63.847641
15.42977,75.62971,1530639,267839,257,3.061278,0.32697201,4.759259259,8.147509269,81.47509269
16.69563,74.23167,1190241,80011,178,2.380482,0.226463104,3.296296296,5.903241401,59.03241401
16.73308,82.21364,765718,82280,40,1.531436,0.050890585,0.740740741,2.323067326,23.23067326
16.74799,77.4954,699539,55250,44,1.399078,0.055979644,0.814814815,2.269872459,22.69872459
16.82442,75.71537,392906,2660,10,0.785812,0.012722646,0.185185185,0.983719831,9.837198315
16.85438,74.56417,1012940,5966,19,2.02588,0.024173028,0.351851852,2.40190488,24.0190488
17.05439,79.26707,350155,1100,4,0.70031,0.005089059,0.074074074,0.779473133,7.794731326
17.24767,80.14368,832279,77160,40,1.664558,0.050890585,0.740740741,2.456189326,24.56189326
17.3381,77.90441,574933,1090,12,1.149866,0.015267176,0.222222222,1.387355398,13.87355398
