Lattitude,Longitude,Total Doses,Sessions,Sites ,Out of 100
8.4855,76.94924,1596518,55094,77,47.16926303
8.72742,77.6838,1695286,18864,58,45.38437423
8.88113,76.58469,1325970,34428,80,42.35202652
9.26667,76.78333,2627032,69977,122,76.68539544
9.37158,78.83077,497962,19600,49,19.65672374
9.37158,78.83077,578340,23020,26,16.71240362
9.49004,76.3264,806739,259749,160,47.80003304
9.58692,76.52132,2752471,27098,96,74.04857182
9.84701,78.48358,1578832,6101,13,34.14944181
9.919,78.11953,1174995,4050,26,28.64550362
10.36896,77.98036,833595,7605,20,20.63005663
10.36896,77.98036,694900,22840,34,20.62686627
10.38128,78.82141,186137,2846,7,5.10809482
10.38128,78.82141,455863,8500,25,14.06495579
10.77269,79.6368,845918,14600,62,29.18864555
10.8155,78.69651,548111,9055,25,15.90991579
10.91667,79.83333,1413744,19477,65,41.13888905
10.95771,78.08095,1247017,46520,36,32.06502193
11.00555,76.96612,502986,25100,52,20.35092724
11.04199,76.08154,3233056,134529,157,95.73264954
11.11541,77.35456,600079,16180,41,20.11580109
11.13849,79.07556,422768,8700,48,17.95493591
11.22126,78.16524,888835,13140,23,22.32858012
11.23333,78.88333,375231,2620,5,8.494159157
11.24802,75.7804,2125026,35000,109,64.07247363
11.3428,77.72741,775025,21657,49,25.19798374
11.65376,78.15538,609616,31700,43,20.70235675
11.65376,78.15538,401287,43850,43,16.53577675
11.70172,75.53474,150398,11200,14,5.778669641
11.73379,78.95925,1571346,8590,30,37.36415494
11.75617,79.76693,3344937,39899,118,90.25186412
11.86752,75.35763,1228547,27140,49,34.26842374
11.93381,79.82979,55283,394,3,1.699383494
12.1277,78.15794,1349465,134540,90,44.80100483
12.22662,79.07461,1158435,49970,67,36.42852471
12.49838,74.98959,2619664,95855,137,79.50665291
12.51921,78.21382,398261,19340,12,10.34011398
12.5223,76.89746,1030003,108922,312,82.34730343
12.9184,79.13255,709427,7600,25,19.13623579
13.08784,80.27847,1583866,44906,77,46.91622303
13.13768,78.12999,547186,135380,106,31.92195014
13.21055,79.0956,3228972,348180,121,88.52628761
13.33467,74.74617,2125424,291683,180,78.13188967
14.16498,75.02901,1950860,192357,309,100.1707199
14.22262,76.40038,1186666,228566,222,67.66885859
14.67784,77.60813,279778,5420,17,8.959993135
15.34522,76.15478,1371630,504102,184,63.847641
15.42977,75.62971,1530639,267839,257,81.47509269
16.69563,74.23167,1190241,80011,178,59.03241401
16.73308,82.21364,765718,82280,40,23.23067326
16.74799,77.4954,699539,55250,44,22.69872459
16.82442,75.71537,392906,2660,10,9.837198315
16.85438,74.56417,1012940,5966,19,24.0190488
17.05439,79.26707,350155,1100,4,7.794731326
17.24767,80.14368,832279,77160,40,24.56189326
17.3381,77.90441,574933,1090,12,13.87355398
17.38405,78.45636,580060,509100,86,28.62127351
17.67152,75.91044,704368,6349,72,28.33672387
17.68589,73.99333,2320826,71099,176,81.24829834
18.04531,78.26078,489075,42530,17,13.14593314
18.10483,78.84858,802939,8560,26,21.20438362
18.191,79.943,2994358,37573,74,74.53233953
18.2989,83.89751,2760855,317245,95,74.01834399
18.39014,81.65941,1275393,52124,124,50.04843111
18.43915,79.12856,614891,58000,29,18.03714711
18.51957,73.85535,1000493,57975,137,47.12323291
18.61357,79.37442,803485,200,2,16.46551566
18.67154,78.0988,398082,334000,34,14.69050627
18.81199,82.71048,3155313,60204,121,87.05310761
18.98921,75.75634,2063761,254704,134,67.79486942
19.07283,72.88261,1283721,32539,115,48.43382062
19.09685,78.34407,272393,52000,21,9.603924461
19.19704,72.96355,2291053,299610,193,84.01727148
19.26855,76.77081,1917492,68835,119,61.90087195
19.38705,85.05079,350745,14248,23,11.56678012
19.59083,81.664,458614,30240,25,14.11997579
19.67203,78.5359,487280,7910,14,12.51630964
19.69693,72.76543,904452,17407,36,25.21372193
19.71464,77.14238,1093581,44636,168,55.12013569
19.79825,85.82494,457028,13024,44,17.84850459
19.84102,75.88636,2240893,71597,122,68.96261544
19.87757,75.34226,380207,2700,6,8.791586989
19.87757,75.34226,1517232,58931,116,53.30194845
19.99727,73.79096,879367,76639,128,42.91954243
20.11128,77.133,909212,45873,104,38.76665448
20.12882,85.09626,702252,67160,69,27.70068037
20.39324,78.13201,738949,83663,95,33.58022399
20.41431,72.83236,505310,35400,53,20.59531507
20.46497,85.87927,283655,18244,12,8.047993978
20.61013,72.93428,2189079,6891,34,50.51044627
20.63323,82.06221,1266944,18829,73,39.7861517
20.65744,85.59693,251742,13011,12,7.409733978
20.70419,83.49029,802475,43480,54,26.7365229
20.70718,81.54874,199213,6670,62,16.25454555
20.71405,70.98224,345859,4300,5,7.906719157
20.73081,81.20578,1344186,23580,62,39.15400555
20.82318,71.03795,952985,20518,62,31.32998555
20.84089,85.10192,54872,1420,3,1.691163494
20.84852,86.33729,699177,22061,101,33.97223098
20.93333,77.75,925248,27157,96,37.50411182
20.94237,72.92467,625257,56658,29,18.24446711
21.00292,75.56602,563840,141712,132,37.40063376
21.03333,81.53333,1477257,10099,51,39.63843941
21.10743,82.0948,387389,67040,70,21.6013282
21.16817,79.64885,1296758,105641,178,61.16275401
21.19147,81.27619,612694,11762,44,20.96182459
21.19594,72.83023,1382440,944,9,29.42997048
21.19594,72.83023,1493825,9478,46,38.98026025
21.28777,71.7556,846715,65515,200,56.5158663
21.33348,83.61905,1468727,42630,120,53.12347978
21.46026,80.19205,574700,154200,85,28.31616568
21.46527,83.97573,636918,89300,101,32.72705098
21.49266,86.93348,1016221,31987,100,40.11520315
21.51966,70.45981,1249367,900,5,25.97687916
21.51966,70.45981,644132,1185,10,14.86171831
21.53827,84.73337,1672485,35759,106,54.42793014
21.64219,69.60929,1190488,29081,197,62.7976028
21.65678,82.16062,673240,66424,64,26.13090122
21.69482,72.9805,3002311,19903,160,91.71147304
21.76287,72.15331,1591830,14382,46,40.94036025
21.76287,72.15331,1513544,31510,75,45.11396736
21.8156,80.18845,687905,29104,111,35.7258693
21.82292,75.61394,1096406,110300,182,57.94734533
21.82427,76.35086,1001857,60569,105,40.81746231
21.85531,84.00698,1169829,41202,32,29.72963061
21.89764,83.3966,57601,5580,9,2.933190483
21.90056,77.90229,942471,33895,148,48.13977906
