Lattitude,Longitude,Total Doses,Sessions,Sites 
21.64219,69.60929,1190488,29081,197
21.90174,70.0327,2004814,161910,237
22.47292,70.06673,1026067,15600,39
22.47292,70.06673,858749,3370,34
21.51966,70.45981,644132,1185,10
21.51966,70.45981,1249367,900,5
22.29161,70.79322,614711,8409,109
22.29161,70.79322,1433454,2966,27
22.81731,70.8377,1943723,19408,132
26.91763,70.90387,2535514,54004,111
20.71405,70.98224,345859,4300,5
20.82318,71.03795,952985,20518,62
21.59983,71.21169,6460327,364229,324
25.74572,71.39211,912450,33975,89
22.72706,71.64856,4917372,86690,56
22.16917,71.66671,609883,5240,14
21.28777,71.7556,846715,65515,200
21.76287,72.15331,1591830,14382,46
21.76287,72.15331,1513544,31510,75
23.02579,72.58727,1018549,47720,47
23.02579,72.58727,1715655,32166,97
23.21667,72.68333,709101,5951,57
23.21667,72.68333,1140830,18401,39
22.75218,72.68533,357125,11580,15
19.69693,72.76543,904452,17407,36
21.19594,72.83023,1382440,944,9
21.19594,72.83023,1493825,9478,46
20.41431,72.83236,505310,35400,53
24.88838,72.84794,2562909,29280,127
19.07283,72.88261,1283721,32539,115
20.94237,72.92467,625257,56658,29
20.61013,72.93428,2189079,6891,34
22.55251,72.9552,1237595,0,0
19.19704,72.96355,2291053,299610,193
21.69482,72.9805,3002311,19903,160
22.29941,73.20812,660752,9265,12
22.29941,73.20812,1582623,17271,105
16.99154,73.31022,2093680,153442,314
28.01762,73.31495,2078222,70864,184
24.58584,73.71346,1137241,3440,9
27.20201,73.73394,1773964,34943,190
19.99727,73.79096,879367,76639,128
18.51957,73.85535,1000493,57975,137
29.92009,73.87496,781671,24230,78
25.07145,73.8798,785925,180000,45
17.68589,73.99333,2320826,71099,176
26.04259,74.02373,1553139,794422,365
30.40207,74.02836,434111,73409,89
33.77033,74.09254,692352,100874,76
16.69563,74.23167,1190241,80011,178
21.36671,74.24051,1467922,104895,388
34.03056,74.26417,444190,54681,132
29.58182,74.32938,905435,105300,220
23.54109,74.4425,2928883,85226,447
16.85438,74.56417,1012940,5966,19
22.76772,74.59087,2605938,273970,319
26.4521,74.63867,661873,87106,62
25.34707,74.64081,1670888,45985,281
13.33467,74.74617,2125424,291683,180
30.67399,74.75579,734692,13574,23
24.47639,74.86241,995415,28540,113
32.73569,74.86911,262526,18197,94
31.62234,74.87534,39838,1000,3
33.87405,74.89955,491228,64165,87
22.03232,74.89982,1475211,113902,163
31.45191,74.92777,555755,19938,44
30.20747,74.93893,362595,7286,12
27.99486,74.95628,872422,112200,141
28.30415,74.96718,1273623,70951,228
12.49838,74.98959,2619664,95855,137
33.64456,75.01923,183375,18780,76
29.53489,75.02898,814478,18305,42
14.16498,75.02901,1950860,192357,309
23.33033,75.04032,1343197,30030,128
24.07184,75.06986,795907,50850,57
32.56245,75.11993,301930,21090,134
32.92431,75.13573,1087084,216336,82
27.61206,75.13996,963548,366098,366
33.73068,75.15418,655053,10110,54
30.81383,75.16878,408128,83312,70
27.25097,75.17893,917268,90756,50
33.24278,75.23513,508603,66991,102
22.59373,75.29774,1354010,23552,94
19.87757,75.34226,380207,2700,6
19.87757,75.34226,1517232,58931,116
11.86752,75.35763,1228547,27140,49
31.38011,75.38105,1880108,48601,37
28.64201,75.38612,1116217,26260,94
29.98844,75.40167,2848597,116093,49
14.79354,75.40448,1613504,532260,388
29.51525,75.45554,2112835,122838,68
32.36941,75.52539,1625573,21575,37
11.70172,75.53474,150398,11200,14
33.14916,75.54746,698360,130557,149
30.37451,75.5487,1478842,107235,92
21.00292,75.56602,563840,141712,132
31.32556,75.57917,1416187,61300,100
21.82292,75.61394,1096406,110300,182
15.42977,75.62971,1530639,267839,257
25.43855,75.63735,1913349,0,0
32.27484,75.65287,635807,20962,32
29.44768,75.67206,1824718,102460,106
16.82442,75.71537,392906,2660,10
29.15394,75.72294,3079411,42795,124
18.98921,75.75634,2063761,254704,134
33.31346,75.76726,594263,72665,147
23.18239,75.77643,1106604,68502,177
11.24802,75.7804,2125026,35000,109
26.91962,75.78781,1599418,375,3
26.91962,75.78781,3682682,74942,145
26.16638,75.78824,1620387,6158,36
22.71792,75.8333,1121245,37380,122
25.18254,75.83907,1022413,45000,57
30.24506,75.84488,510620,16414,39
30.91204,75.85379,562321,2292,12
